id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,minted_market_cap,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
1,Bitcoin,BTC,bitcoin,12560,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",21000000.0,19989081.0,19989081.0,False,1395043803481.51,,1,,,,2026-02-14T09:09:00.000Z,69790.29218409321,37287548846.51524,-17.0232,0.37342663,4.66119158,1.75617064,-27.79157969,-19.13826963,-27.2959627,1395043803481506,58.4144,1465596135865.96,,2026-02-14T09:09:00.000Z,,,,,,2026-02-14 10:11:17.908928
1027,Ethereum,ETH,ethereum,11566,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sora-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing', 'abstract-chain-ecosystem', 'unichain-ecosystem', 'soneium-ecosystem', 'sophon-ecosystem']",,120692467.61429045,120692467.61429045,True,251535361820.58,,2,,,,2026-02-14T09:09:00.000Z,2084.1015747928463,18816698018.916367,-5.6225,0.51976548,6.48568165,3.04826418,-37.51022304,-28.84438544,-35.09600761,251535361820.57733,10.5325,251535361820.58,,2026-02-14T09:09:00.000Z,,,,,,2026-02-14 10:11:17.908928
825,Tether USDt,USDT,tether,171208,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'usd-stablecoin', 'fiat-stablecoin', 'tron20-ecosystem', 'rsk-rbtc-ecosystem', 'venom-ecosystem', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing', 'peaq-ecosystem', 'apertum-ecosystem', 'etherlink-ecosystem', 'duckchain-ecosystem', 'onus-ecosystem', 'sophon-ecosystem', 'zedxion-smart-chain-ecosystem', 'xlayer-ecosystem']",,183816960128.68332,187964839850.9968,True,187895100913.86,,3,,,,2026-02-14T09:09:00.000Z,0.9996289788175753,75105647685.67322,-12.7342,0.00258384,0.03267789,0.0168639,-0.00349882,-0.0183099,0.02629214,183748760142.78665,7.6941,187895100913.86,,2026-02-14T09:09:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2026-02-14 10:11:17.908928
52,XRP,XRP,xrp,1798,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'xrp-ecosystem', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'klaytn-ecosystem', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing', 'iso-20022']",100000000000.0,60917315351.0,99985721048.0,False,144891733637.13,,4,,,,2026-02-14T09:09:00.000Z,1.4491242561282736,2500997499.623137,-6.7545,1.6698272,6.14787802,1.90510423,-31.05286807,-22.85653666,-35.86944701,88276759293.34933,3.6964,144912425612.83,,2026-02-14T09:09:00.000Z,,,,,,2026-02-14 10:11:17.908928
1839,BNB,BNB,bnb,3134,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate', 'binance-ecosystem', 'binance-listing', 'etherlink-ecosystem', 'made-in-china']",136359342.47,136359342.47,136359342.47,False,85541717698.0,,5,,,,2026-02-14T09:09:00.000Z,627.3256833636049,1718540925.7385275,1.9315,0.79858334,4.36663296,-1.88580891,-33.39016186,-26.95350155,-33.54352585,85541717698.00458,3.5819,85541717698.0,,2026-02-14T09:09:00.000Z,,,,,,2026-02-14 10:11:17.908928
3408,USDC,USDC,usd-coin,37461,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'stellar-ecosystem', 'coinbase-ventures-portfolio', 'usd-stablecoin', 'xdc-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'venom-ecosystem', 'made-in-america', 'world-liberty-financial-portfolio', 'sonic-ecosystem', 'binance-ecosystem', 'binance-listing', 'hyperevm-ecosystem', 'etherlink-ecosystem', 'unichain-ecosystem', 'vector-smart-chain-ecosystem', 'sophon-ecosystem', 'monad-ecosystem', 'xlayer-ecosystem']",,73492458779.04716,73492458779.04716,False,73490676069.27,,6,60901219650.23,60899742366.68818,,2026-02-14T09:09:00.000Z,0.9999757429563758,10754914194.069794,-26.1691,-0.00634454,0.00408739,0.01389461,0.02284567,0.01356371,0.00595292,73490676069.26851,3.0773,73490676069.27,,2026-02-14T09:09:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2026-02-14 10:11:17.908928
5426,Solana,SOL,solana,1089,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'alleged-sec-securities', 'cmc-crypto-awards-2024', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",,567958553.5015392,620392032.6641735,True,53494679782.4,,7,525236893.3,45289716723.67611,,2026-02-14T09:09:00.000Z,86.22721918699634,3442386739.3301697,-7.8881,0.93078081,8.36176899,0.96379611,-40.40347153,-31.56633637,-39.11147273,48973486681.90661,2.0507,53494679782.4,,2026-02-14T09:09:00.000Z,,,,,,2026-02-14 10:11:17.908928
1958,TRON,TRX,tron,1299,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'alleged-sec-securities', '2017-2018-alt-season', 'tron20-ecosystem', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing', 'made-in-china']",,94723016545.2041,94723014612.2345,True,26748623075.83,,8,94667886298.43,26733055512.941986,,2026-02-14T09:10:00.000Z,0.28238779335020747,578498731.8655764,0.2962,-0.06041836,1.51485334,2.8788089,-7.38246609,1.15034419,-5.04963166,26748623621.67538,1.12,26748623075.83,,2026-02-14T09:10:00.000Z,,,,,,2026-02-14 10:11:17.908928
74,Dogecoin,DOGE,dogecoin,1400,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'doge-chain-ecosystem', 'osmosis-ecosystem', 'ftx-bankruptcy-estate', 'animal-memes', 'made-in-america', 'binance-ecosystem', 'binance-listing']",,168734523126.57907,168734523126.57907,True,16471785079.32,,9,,,,2026-02-14T09:09:00.000Z,0.09761953140416885,845007969.403792,7.4834,1.02081026,4.30369791,1.70505904,-32.13893065,-24.18647503,-40.36329942,16471785079.32254,0.6897,16471785079.32,,2026-02-14T09:09:00.000Z,,,,,,2026-02-14 10:11:17.908928
1831,Bitcoin Cash,BCH,bitcoin-cash,1137,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'layer-1', '2017-2018-alt-season', 'made-in-america', 'binance-ecosystem', 'binance-listing']",21000000.0,19994596875,19994596875,False,11351730777.94,,10,,,,2026-02-14T09:09:00.000Z,567.7399173838195,577287966.8594004,37.7458,0.68270555,9.55975577,8.32654586,-7.45963492,7.24873857,13.29103976,11351730777.935276,0.4753,11922538265.06,,2026-02-14T09:09:00.000Z,,,,,,2026-02-14 10:11:17.908928
